time;ToF[cm]
1657808043.5795739;30.8
1657808043.5819333;30.8
1657808043.584285;30.8
1657808043.5866542;30.8
1657808043.5892723;30.8
1657808043.5915453;30.8
1657808043.593801;30.8
1657808043.5962782;30.8
1657808043.5988412;30.8
1657808043.60096;30.8
1657808043.6030076;30.8
1657808043.605429;30.8
1657808043.6080647;30.8
1657808043.612208;30.8
1657808043.6147723;30.8
1657808043.6171014;30.8
1657808043.619421;30.8
1657808043.6215217;30.8
1657808043.6238542;30.8
1657808043.626752;30.8
1657808043.6287425;30.8
1657808043.63086;30.8
1657808043.6328633;30.8
1657808043.63583;30.8
1657808043.6376898;30.8
1657808043.6395092;30.8
1657808043.6413984;30.8
1657808043.6433024;30.8
1657808043.6449838;30.8
1657808043.6468613;30.8
1657808043.6487288;30.8
1657808043.656026;30.8
1657808043.6595209;30.8
1657808043.6614337;30.8
1657808043.663433;30.8
1657808043.6656504;30.8
1657808043.6678896;30.8
1657808043.6702125;30.8
1657808043.673294;30.8
1657808043.6758788;30.8
1657808043.6802166;30.8
1657808043.6833286;30.8
1657808043.6856182;30.8
1657808043.6875112;30.8
1657808043.689194;30.8
1657808043.6913276;30.8
1657808043.693648;30.8
1657808043.695871;30.8
1657808043.6981006;30.8
1657808043.7001872;30.8
1657808043.7030566;30.8
1657808043.705813;30.8
1657808043.7080734;30.8
1657808043.7102838;30.8
1657808043.7121844;30.8
1657808043.7141232;30.8
1657808043.7160826;30.8
1657808043.7180262;30.8
1657808043.7200491;30.8
1657808043.7221549;30.8
1657808043.724679;30.8
1657808043.7274342;30.8
1657808043.7318308;30.8
1657808043.7345977;30.8
1657808043.737061;30.8
1657808043.7398043;30.8
1657808043.742035;30.8
1657808043.7443304;30.8
1657808043.7491975;30.7
1657808043.7512488;30.7
1657808043.7531784;30.7
1657808043.7552066;30.7
1657808043.7579298;30.7
1657808043.7600522;30.7
1657808043.7626104;30.7
1657808043.764718;30.7
1657808043.7669582;30.7
1657808043.768992;30.7
1657808043.7710547;30.7
1657808043.7729745;30.7
1657808043.7750072;30.7
1657808043.7769141;30.7
1657808043.7788186;30.7
1657808043.7807684;30.7
1657808043.7831454;30.7
1657808043.7855468;30.7
1657808043.7876704;30.7
1657808043.7896857;30.7
1657808043.791486;30.7
1657808043.7932942;30.7
1657808043.7966855;30.7
1657808043.79927;30.7
1657808043.8021965;30.7
1657808043.8045428;30.7
1657808043.8067517;30.7
1657808043.8093832;30.7
1657808043.8117394;30.7
1657808043.8143787;30.7
1657808043.8164296;30.7
1657808043.818427;30.7
1657808043.8202696;30.7
1657808043.8220956;30.7
1657808043.8239553;30.7
1657808043.8273268;30.7
1657808043.8325372;30.7
1657808043.8350804;30.7
1657808043.8375018;30.7
1657808043.8403249;30.7
1657808043.8458204;30.6
1657808043.8511522;30.6
1657808043.8533738;30.6
1657808043.8554554;30.6
1657808043.8573914;30.6
1657808043.859631;30.6
1657808043.8623257;30.6
1657808043.876082;30.6
1657808043.8781574;30.6
1657808043.880919;30.6
1657808043.8835497;30.6
1657808043.8859296;30.6
1657808043.888663;30.6
1657808043.8918383;30.6
1657808043.8956885;30.6
1657808043.8978043;30.6
1657808043.9004312;30.6
1657808043.9023259;30.6
1657808043.9053638;30.6
1657808043.9074552;30.6
1657808043.9095929;30.6
1657808043.9114006;30.6
1657808043.9131567;30.6
1657808043.9153636;30.6
1657808043.9178236;30.6
1657808043.9205744;30.6
1657808043.922818;30.6
1657808043.925036;30.6
1657808043.927393;30.6
1657808043.9300468;30.6
1657808043.9326508;30.6
1657808043.934859;30.6
1657808043.936748;30.6
1657808043.941062;30.8
1657808043.9428208;30.8
1657808043.9445035;30.8
1657808043.946239;30.8
1657808043.9480648;30.8
1657808043.9500976;30.8
1657808043.952215;30.8
1657808043.9540482;30.8
1657808043.9561093;30.8
1657808043.9578805;30.8
1657808043.9597242;30.8
1657808043.9625728;30.8
1657808043.964612;30.8
1657808043.9663045;30.8
1657808043.9681716;30.8
1657808043.9701147;30.8
1657808043.972079;30.8
1657808043.9741402;30.8
1657808043.9763799;30.8
1657808043.9787657;30.8
1657808043.9810934;30.8
1657808043.9834476;30.8
1657808043.9856367;30.8
1657808043.9876432;30.8
1657808043.989759;30.8
1657808043.9920273;30.8
1657808043.9944322;30.8
1657808043.9966402;30.8
1657808043.9991133;30.8
1657808044.0012786;30.8
1657808044.0042837;30.8
1657808044.0063019;30.8
1657808044.008195;30.8
1657808044.0100863;30.8
1657808044.0122292;30.8
1657808044.0140598;30.8
1657808044.0165157;30.8
1657808044.0187268;30.8
1657808044.021281;30.8
1657808044.0240183;30.8
1657808044.0267055;30.8
1657808044.0291255;30.8
1657808044.0314643;30.8
1657808044.0336692;30.8
1657808044.0390973;30.7
1657808044.0413587;30.7
1657808044.0435958;30.7
1657808044.0455906;30.7
1657808044.0475397;30.7
1657808044.0496726;30.7
1657808044.0515878;30.7
1657808044.0538132;30.7
1657808044.0561142;30.7
1657808044.0586052;30.7
1657808044.060912;30.7
1657808044.062801;30.7
1657808044.0649571;30.7
1657808044.067209;30.7
1657808044.0696273;30.7
1657808044.0719264;30.7
1657808044.0741236;30.7
1657808044.0762799;30.7
1657808044.0785327;30.7
1657808044.0807414;30.7
1657808044.082728;30.7
1657808044.0848868;30.7
1657808044.0875134;30.7
1657808044.089835;30.7
1657808044.092072;30.7
1657808044.094877;30.7
1657808044.0974307;30.7
1657808044.0994515;30.7
1657808044.1018708;30.7
1657808044.1043963;30.7
1657808044.10674;30.7
1657808044.10899;30.7
1657808044.1114233;30.7
1657808044.1138847;30.7
1657808044.1162775;30.7
1657808044.1187174;30.7
1657808044.12093;30.7
1657808044.1228678;30.7
1657808044.124953;30.7
1657808044.127573;30.7
1657808044.1295347;30.7
1657808044.1342063;30.8
1657808044.136149;30.8
1657808044.1383255;30.8
1657808044.1406548;30.8
1657808044.143305;30.8
1657808044.1457438;30.8
1657808044.1476307;30.8
1657808044.1495068;30.8
1657808044.1518173;30.8
1657808044.1542225;30.8
1657808044.1568666;30.8
1657808044.1593688;30.8
1657808044.1617272;30.8
1657808044.163889;30.8
1657808044.1663094;30.8
1657808044.168642;30.8
1657808044.1707618;30.8
1657808044.1728601;30.8
1657808044.1752038;30.8
1657808044.177469;30.8
1657808044.17988;30.8
1657808044.1822987;30.8
1657808044.1845057;30.8
1657808044.186913;30.8
1657808044.1891897;30.8
1657808044.1915424;30.8
1657808044.193895;30.8
1657808044.1960676;30.8
1657808044.1983252;30.8
1657808044.2005403;30.8
1657808044.202669;30.8
1657808044.2048774;30.8
1657808044.2068214;30.8
1657808044.2088432;30.8
1657808044.2110267;30.8
1657808044.2128947;30.8
1657808044.2151783;30.8
1657808044.217425;30.8
1657808044.2196083;30.8
1657808044.2217925;30.8
1657808044.2241488;30.8
1657808044.2293353;30.7
1657808044.2316282;30.7
1657808044.2338922;30.7
1657808044.2359102;30.7
1657808044.238005;30.7
1657808044.240222;30.7
1657808044.2423642;30.7
1657808044.2447033;30.7
1657808044.2469668;30.7
1657808044.2493703;30.7
1657808044.2515492;30.7
1657808044.2542293;30.7
1657808044.2569172;30.7
1657808044.2593155;30.7
1657808044.2616515;30.7
1657808044.263709;30.7
1657808044.2659724;30.7
1657808044.268254;30.7
1657808044.270481;30.7
1657808044.2729788;30.7
1657808044.275816;30.7
1657808044.278001;30.7
1657808044.2800362;30.7
1657808044.281961;30.7
1657808044.2839198;30.7
1657808044.2858946;30.7
1657808044.2878006;30.7
1657808044.2901444;30.7
1657808044.2924032;30.7
1657808044.2946298;30.7
1657808044.297049;30.7
1657808044.299613;30.7
1657808044.3015091;30.7
1657808044.303701;30.7
1657808044.30593;30.7
1657808044.3085127;30.7
1657808044.311733;30.7
1657808044.3138194;30.7
1657808044.3158166;30.7
1657808044.3178444;30.7
1657808044.319925;30.7
1657808044.3221116;30.7
1657808044.3267515;30.7
1657808044.3289483;30.7
1657808044.331087;30.7
1657808044.3331313;30.7
1657808044.3349376;30.7
1657808044.3371737;30.7
1657808044.3397334;30.7
1657808044.3418362;30.7
1657808044.3438568;30.7
1657808044.346006;30.7
1657808044.348138;30.7
1657808044.3503504;30.7
1657808044.3525603;30.7
1657808044.3546588;30.7
1657808044.3569446;30.7
1657808044.3586762;30.7
1657808044.3602817;30.7
1657808044.3619578;30.7
1657808044.3636665;30.7
1657808044.3653307;30.7
1657808044.3669727;30.7
1657808044.368594;30.7
1657808044.3703754;30.7
1657808044.3720837;30.7
1657808044.3738651;30.7
1657808044.3756528;30.7
1657808044.3775358;30.7
1657808044.3792028;30.7
1657808044.3810089;30.7
1657808044.382774;30.7
1657808044.384452;30.7
1657808044.3860908;30.7
1657808044.3879442;30.7
1657808044.3907697;30.7
1657808044.3926868;30.7
1657808044.394493;30.7
1657808044.3962498;30.7
1657808044.3981614;30.7
1657808044.3999898;30.7
1657808044.4019115;30.7
1657808044.4042704;30.7
1657808044.4065166;30.7
1657808044.4087605;30.7
1657808044.411469;30.7
1657808044.4135127;30.7
1657808044.415537;30.7
1657808044.4177318;30.7
1657808044.422995;30.8
1657808044.425162;30.8
1657808044.4273703;30.8
1657808044.4303474;30.8
1657808044.432428;30.8
1657808044.4349144;30.8
1657808044.436882;30.8
1657808044.4387743;30.8
1657808044.4405818;30.8
1657808044.4426794;30.8
1657808044.4445505;30.8
1657808044.4466531;30.8
1657808044.4490829;30.8
1657808044.4515083;30.8
1657808044.4536781;30.8
1657808044.4560254;30.8
1657808044.4583113;30.8
1657808044.4606423;30.8
1657808044.4630408;30.8
1657808044.4656;30.8
1657808044.4678438;30.8
1657808044.469984;30.8
1657808044.472171;30.8
1657808044.4747207;30.8
1657808044.4773083;30.8
1657808044.4792733;30.8
1657808044.4814355;30.8
1657808044.483605;30.8
1657808044.4856193;30.8
1657808044.4875329;30.8
1657808044.4895794;30.8
1657808044.4917517;30.8
1657808044.4940808;30.8
1657808044.496738;30.8
1657808044.4989002;30.8
1657808044.5008261;30.8
1657808044.5027418;30.8
1657808044.5057085;30.8
1657808044.5084639;30.8
1657808044.5110695;30.8
1657808044.5130863;30.8
1657808044.5178432;30.7
1657808044.5200777;30.7
1657808044.5224001;30.7
1657808044.524652;30.7
1657808044.5268793;30.7
1657808044.5291345;30.7
1657808044.5320845;30.7
1657808044.534711;30.7
1657808044.5372667;30.7
1657808044.539664;30.7
1657808044.5419068;30.7
1657808044.5442362;30.7
1657808044.5466025;30.7
1657808044.5487573;30.7
1657808044.5509083;30.7
1657808044.5537567;30.7
1657808044.5563393;30.7
1657808044.5583684;30.7
1657808044.5603242;30.7
1657808044.5621912;30.7
1657808044.5641859;30.7
1657808044.5659661;30.7
1657808044.5679307;30.7
1657808044.5702238;30.7
1657808044.5726333;30.7
1657808044.5749195;30.7
1657808044.5772228;30.7
1657808044.5796645;30.7
1657808044.5820198;30.7
1657808044.5844343;30.7
1657808044.5866597;30.7
1657808044.5889392;30.7
1657808044.5911279;30.7
1657808044.593377;30.7
1657808044.5955226;30.7
1657808044.597452;30.7
1657808044.5992072;30.7
1657808044.6010416;30.7
1657808044.6030123;30.7
1657808044.6054342;30.7
1657808044.6080363;30.7
1657808044.6131234;30.8
1657808044.6156366;30.8
1657808044.6180007;30.8
1657808044.6204295;30.8
1657808044.622669;30.8
1657808044.6250288;30.8
1657808044.6275043;30.8
1657808044.6296186;30.8
1657808044.6315966;30.8
1657808044.6350625;30.8
1657808044.636946;30.8
1657808044.639047;30.8
1657808044.6411922;30.8
1657808044.643288;30.8
1657808044.6453438;30.8
1657808044.6475694;30.8
1657808044.6503453;30.8
1657808044.6527135;30.8
1657808044.6549346;30.8
1657808044.6573286;30.8
1657808044.659669;30.8
1657808044.661651;30.8
1657808044.6641;30.8
1657808044.6665826;30.8
1657808044.6687558;30.8
1657808044.6710784;30.8
1657808044.6737323;30.8
1657808044.6760404;30.8
1657808044.6782844;30.8
