time;ToF[cm]
1659331898.1904054;15.9
1659331898.1916273;15.9
1659331898.1928463;15.9
1659331898.1940658;15.9
1659331898.195291;15.9
1659331898.1965158;15.9
1659331898.1977382;15.9
1659331898.1989555;15.9
1659331898.200175;15.9
1659331898.2013936;15.9
1659331898.2026114;15.9
1659331898.2038312;15.9
1659331898.2050772;15.9
1659331898.2063153;15.9
1659331898.207545;15.9
1659331898.2087724;15.9
1659331898.210353;15.9
1659331898.2115998;15.9
1659331898.2128356;15.9
1659331898.2140665;15.9
1659331898.2153335;15.9
1659331898.2165666;15.9
1659331898.2177968;15.9
1659331898.2190304;15.9
1659331898.2202573;15.9
1659331898.2214854;15.9
1659331898.2227128;15.9
1659331898.2239404;15.9
1659331898.2251716;15.9
1659331898.2264001;15.9
1659331898.227627;15.9
1659331898.2288532;15.9
1659331898.2300792;15.9
1659331898.2313063;15.9
1659331898.232533;15.9
1659331898.233759;15.9
1659331898.235005;15.9
1659331898.2362332;15.9
1659331898.2374609;15.9
1659331898.238692;15.9
1659331898.2399893;15.9
1659331898.2412262;15.9
1659331898.242496;15.9
1659331898.243753;15.9
1659331898.2450142;15.9
1659331898.2462509;15.9
1659331898.2474828;15.9
1659331898.2487144;15.9
1659331898.2499413;15.9
1659331898.2511673;15.9
1659331898.2523928;15.9
1659331898.2536175;15.9
1659331898.2548454;15.9
1659331898.2560735;15.9
1659331898.2573028;15.9
1659331898.2585323;15.9
1659331898.2612624;15.9
1659331898.2627275;15.9
1659331898.264215;15.9
1659331898.2657614;15.9
1659331898.2670689;15.9
1659331898.2683182;15.9
1659331898.2695558;15.9
1659331898.2707915;15.9
1659331898.2720234;15.9
1659331898.273251;15.9
1659331898.276181;15.8
1659331898.2774224;15.8
1659331898.2786546;15.8
1659331898.2798908;15.8
1659331898.2813954;15.8
1659331898.2830584;15.8
1659331898.2846138;15.8
1659331898.2859943;15.8
1659331898.2872632;15.8
1659331898.2885056;15.8
1659331898.2897418;15.8
1659331898.2909753;15.8
1659331898.2922096;15.8
1659331898.2934406;15.8
1659331898.2946737;15.8
1659331898.2959137;15.8
1659331898.2972436;15.8
1659331898.2985806;15.8
1659331898.2998216;15.8
1659331898.301056;15.8
1659331898.3022861;15.8
1659331898.303516;15.8
1659331898.3047469;15.8
1659331898.3059797;15.8
1659331898.3072093;15.8
1659331898.3084521;15.8
1659331898.3096938;15.8
1659331898.3109274;15.8
1659331898.312157;15.8
1659331898.313465;15.8
1659331898.3147478;15.8
1659331898.3159873;15.8
1659331898.3172207;15.8
1659331898.3184578;15.8
1659331898.3196895;15.8
1659331898.3209183;15.8
1659331898.3221445;15.8
1659331898.3233714;15.8
1659331898.324602;15.8
1659331898.3258333;15.8
1659331898.3270621;15.8
1659331898.3282912;15.8
1659331898.3295217;15.8
1659331898.3307507;15.8
1659331898.3319783;15.8
1659331898.3332055;15.8
1659331898.334434;15.8
1659331898.3356602;15.8
1659331898.3368852;15.8
1659331898.338113;15.8
1659331898.3393476;15.8
1659331898.3406382;15.8
1659331898.3418763;15.8
1659331898.3431036;15.8
1659331898.3443332;15.8
1659331898.3455935;15.8
1659331898.3468451;15.8
1659331898.3480732;15.8
1659331898.349301;15.8
1659331898.3505287;15.8
1659331898.3517563;15.8
1659331898.352983;15.8
1659331898.3542109;15.8
1659331898.3554392;15.8
1659331898.3566678;15.8
1659331898.3578956;15.8
1659331898.3591228;15.8
1659331898.360352;15.8
1659331898.3615828;15.8
1659331898.3628159;15.8
1659331898.3640413;15.8
